SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,5122 NW 133rd Ave,Portland,OR,97229,810000,4,2.5,Arbor Heights,3092,8712,2011,30,262,162,Sold,http://www.redfin.com/OR/Portland/5122-NW-133rd-Ave-97229/home/26603480,RMLS,21455198,45.5564765,-122.8132515
PAST SALE,Single Family Residential,1995 SW Huntington Ave,Portland,OR,97225,520000,4,1,"Portland West, Raleigh Hills",1296,8276,1953,24,401,11,Sold,http://www.redfin.com/OR/Portland/1995-SW-Huntington-Ave-97225/home/25782933,RMLS,21596318,45.5051554,-122.8057537
PAST SALE,Single Family Residential,13209 NW Lombardy Dr,Portland,OR,97229,911000,5,3,NW Washington Co or Sauvie Island,3810,6534,2017,25,239,50,Sold,http://www.redfin.com/OR/Portland/13209-NW-Lombardy-Dr-97229/home/101101863,RMLS,21254912,45.5615772,-122.8131387
PAST SALE,Townhouse,16093 NW Hildago Ln,Portland,OR,97229,425000,3,2.5,Arbor Parc,1479,1742,2007,165,287,233,Sold,http://www.redfin.com/OR/Portland/16093-NW-Hildago-Ln-97229/home/25774056,RMLS,21454159,45.5557792,-122.842762
PAST SALE,Single Family Residential,12250 NW West Rd,Portland,OR,97229,1200000,5,3,BAUER WOODS ESTATES,4405,14374,1994,45,272,8,Sold,http://www.redfin.com/OR/Portland/12250-NW-West-Rd-97229/home/26563993,RMLS,21077843,45.543542,-122.8028701
PAST SALE,Single Family Residential,2016 NW Langley Ct,Portland,OR,97229,888000,5,3.5,"Portland West, Raleigh Hills",4009,14374,1993,1151,222,49,Sold,http://www.redfin.com/OR/Portland/2016-NW-Langley-Ct-97229/home/26582401,RMLS,18652309,45.5373306,-122.7739209
PAST SALE,Single Family Residential,14880 NW Jewell Ln,Portland,OR,97229,590000,4,2.5,BETHANY VIEW ESTATES,2717,10018,1997,1769,217,7,Sold,http://www.redfin.com/OR/Portland/14880-NW-Jewell-Ln-97229/home/26734748,RMLS,16579100,45.5574717,-122.8303411
PAST SALE,Single Family Residential,12905 SW Walker Rd,Beaverton,OR,97005,274500,2,1,Cedar Hills,984,5662,1949,1440,279,12,Sold,http://www.redfin.com/OR/Beaverton/12905-SW-Walker-Rd-97005/home/25785627,RMLS,17588894,45.5028951,-122.8094499
PAST SALE,Single Family Residential,5714 SW Westdale Dr,Portland,OR,97221,998000,5,3,"Portland West, Raleigh Hills",3817,30927,1963,24,261,33,Sold,http://www.redfin.com/OR/Portland/5714-SW-Westdale-Dr-97221/home/26479447,RMLS,21181736,45.4963545,-122.7355738
PAST SALE,Single Family Residential,12875 SW Douglas St,Portland,OR,97225,365000,3,1,"Portland West, Raleigh Hills",1100,7405,1949,1012,332,8,Sold,http://www.redfin.com/OR/Portland/12875-SW-Douglas-St-97225/home/26634469,RMLS,18181003,45.5040031,-122.809457
PAST SALE,Single Family Residential,2901 SW Vesta St,Portland,OR,97219,590000,4,2.5,Oak Creek,2751,7405,1990,1472,214,8,Sold,http://www.redfin.com/OR/Portland/2901-SW-Vesta-St-97219/home/25795044,RMLS,17045655,45.4412232,-122.7069431
PAST SALE,Townhouse,15362 NW Aberdeen Dr,Portland,OR,97229,447500,2,2.5,CLAREMONT,1762,3920,1997,1822,254,233,Sold,http://www.redfin.com/OR/Portland/15362-NW-Aberdeen-Dr-97229/home/26695650,RMLS,16437579,45.54585,-122.8354909
PAST SALE,Single Family Residential,50 Aquinas St,Lake Oswego,OR,97035,577000,4,2.5,"Lake Oswego, West Linn",2415,10890,1975,1100,239,83,Sold,http://www.redfin.com/OR/Lake-Oswego/50-Aquinas-97035/home/26622255,RMLS,18157874,45.4334253,-122.7254739
PAST SALE,Single Family Residential,11387 NW Elise Ln Unit L-2,Portland,OR,97229,639990,3,2.5,IRON RIDGE HEIGHTS,3001,4791,2019,652,213,34,Sold,http://www.redfin.com/OR/Portland/11387-NW-Elise-Ln-97229/home/161340594,RMLS,19195161,45.540042,-122.7941254
PAST SALE,Single Family Residential,8593 SE Boulder Creek Ct,Happy Valley,OR,97086,745000,5,4.5,Falls at Happy Valley,6227,8712,2004,862,120,31,Sold,http://www.redfin.com/OR/Happy-Valley/8593-SE-Boulder-Creek-Ct-97086/home/25866459,RMLS,19324447,45.4605065,-122.522873
PAST SALE,Townhouse,16174 NW Fescue Ct,Portland,OR,97229,335000,3,2.5,Sommerset West-Elmonica N,1480,1742,2000,1507,226,186,Sold,http://www.redfin.com/OR/Portland/16174-NW-Fescue-Ct-97229/home/26641796,RMLS,17586139,45.5642598,-122.8430939
PAST SALE,Townhouse,15062 NW Sumida Ln,Portland,OR,97229,560000,3,2.5,NW Washington Co or Sauvie Island,1741,4356,1998,29,322,271,Sold,http://www.redfin.com/OR/Portland/15062-NW-Sumida-Ln-97229/home/26654766,RMLS,21610617,45.5551559,-122.8316966
PAST SALE,Townhouse,15059 NW Elaina Ct,Portland,OR,97229,436000,3,3,NW Washington Co or Sauvie Island,1996,3484,1999,471,218,292,Sold,http://www.redfin.com/OR/Portland/15059-NW-Elaina-Ct-97229/home/26586863,RMLS,20444713,45.555673,-122.831985
