SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-5-2018,Other,1805 N Jantzen Ave,Portland,OR,97217,259500,2,1,Portland North,775,,1950,1248,335,375,Sold,,,http://www.redfin.com/OR/Portland/1805-N-Jantzen-Ave-97217/home/25813422,RMLS,18510330,N,Y,45.6113167,-122.687726
PAST SALE,June-25-2021,Single Family Residential,10940 SE Salmon St,Portland,OR,97216,360000,2,1,MILL PARK,1130,6098,1963,71,319,,Sold,,,http://www.redfin.com/OR/Portland/10940-SE-Salmon-St-97216/home/26408861,RMLS,21625655,N,Y,45.5145155,-122.5504107
PAST SALE,May-1-2018,Single Family Residential,9016 N Curtis Ave,Portland,OR,97217,330000,3,1,Portland North,980,4791,1969,1222,337,,Sold,,,http://www.redfin.com/OR/Portland/9016-N-Curtis-Ave-97217/home/25847062,RMLS,18699285,N,Y,45.5880509,-122.6981814
PAST SALE,September-5-2019,Single Family Residential,2155 NW Aspen Ave,Portland,OR,97210,1200000,4,2.5,WILLAMETTE HEIGHTS,3052,23086,1925,730,393,,Sold,,,http://www.redfin.com/OR/Portland/2155-NW-Aspen-Ave-97210/home/26522628,RMLS,19399961,N,Y,45.537803,-122.7203813
PAST SALE,March-10-2017,Single Family Residential,7803 SE 119th Ct,Portland,OR,97266,375000,3,3,Portland Southeast,2512,13068,1994,1639,149,,Sold,,,http://www.redfin.com/OR/Portland/7803-SE-119th-Ct-97266/home/26576973,RMLS,17627860,N,Y,45.4666292,-122.5402554
PAST SALE,November-10-2020,Single Family Residential,11130 SE Yamhill St,Portland,OR,97216,455000,4,3,Portland Southeast,2378,7840,1976,298,191,,Sold,,,http://www.redfin.com/OR/Portland/11130-SE-Yamhill-St-97216/home/26408936,RMLS,20063736,N,Y,45.5159403,-122.5489049
PAST SALE,November-8-2019,Townhouse,4622 SE Haig St,Portland,OR,97206,458000,3,2.5,Portland Southeast,1704,2613,2008,666,269,,Sold,,,http://www.redfin.com/OR/Portland/4622-SE-Haig-St-97206/home/25798811,RMLS,19054072,N,Y,45.4980285,-122.6149122
PAST SALE,December-20-2016,Single Family Residential,1760 SE 158th Ave,Portland,OR,97233,286400,4,2,Parklane,1464,8276,1964,1719,196,,Sold,,,http://www.redfin.com/OR/Portland/1760-SE-158th-Ave-97233/home/26603278,RMLS,16195287,N,Y,45.5104619,-122.5005517
PAST SALE,July-8-2021,Single Family Residential,11136 SE Alder St,Portland,OR,97216,415000,3,2,Portland Southeast,1462,6098,1994,58,284,,Sold,,,http://www.redfin.com/OR/Portland/11136-SE-Alder-St-97216/home/26392203,RMLS,21505610,N,Y,45.5173681,-122.5486761
PAST SALE,June-28-2017,Condo/Co-op,3159 NW Skyline Blvd,Portland,OR,97229,710000,3,3,MACLEAY OVERLOOK,2324,,2015,1529,306,277,Sold,,,http://www.redfin.com/OR/Portland/3159-NW-Skyline-Blvd-97229/home/52050949,RMLS,17590767,N,Y,45.5452804,-122.7617092
